sync_index,cam_id,frame_index,frame_time,object_id,keypoint_id,img_loc_x,img_loc_y,obj_loc_x,obj_loc_y,obj_loc_z
0,1,0,0.000000,0,2,764.664185,889.149780,0.150000,0.050000,0.000000
0,1,0,0.000000,0,6,755.661377,830.623108,0.150000,0.100000,0.000000
0,1,0,0.000000,0,11,813.811401,750.551941,0.200000,0.150000,0.000000
0,1,0,0.000000,0,12,595.918945,745.605103,0.050000,0.200000,0.000000
0,1,0,0.000000,0,15,806.913574,691.314636,0.200000,0.200000,0.000000
0,1,0,0.000000,0,16,583.807129,681.526245,0.050000,0.250000,0.000000
0,1,0,0.000000,0,17,656.811157,663.256897,0.100000,0.250000,0.000000
0,1,0,0.000000,0,18,727.715454,645.520020,0.150000,0.250000,0.000000
0,1,0,0.000000,0,19,796.934814,627.530457,0.200000,0.250000,0.000000
0,1,0,0.000000,0,20,571.578247,614.361145,0.050000,0.300000,0.000000
0,1,0,0.000000,0,21,646.051514,597.444580,0.100000,0.300000,0.000000
0,1,0,0.000000,0,22,716.689941,582.048279,0.150000,0.300000,0.000000
0,1,0,0.000000,0,23,786.318115,562.872375,0.200000,0.300000,0.000000
5,1,5,0.166667,0,0,619.484863,932.245300,0.050000,0.050000,0.000000
5,1,5,0.166667,0,1,690.093384,913.374390,0.100000,0.050000,0.000000
5,1,5,0.166667,0,2,754.633423,892.574219,0.150000,0.050000,0.000000
5,1,5,0.166667,0,3,821.453735,872.523315,0.200000,0.050000,0.000000
5,1,5,0.166667,0,4,610.370483,873.547546,0.050000,0.100000,0.000000
5,1,5,0.166667,0,5,678.949951,854.264465,0.100000,0.100000,0.000000
5,1,5,0.166667,0,6,746.936768,836.309326,0.150000,0.100000,0.000000
5,1,5,0.166667,0,7,813.458130,816.183960,0.200000,0.100000,0.000000
5,1,5,0.166667,0,8,597.644043,812.635315,0.050000,0.150000,0.000000
5,1,5,0.166667,0,9,669.963257,794.541321,0.100000,0.150000,0.000000
5,1,5,0.166667,0,10,736.763794,774.477173,0.150000,0.150000,0.000000
5,1,5,0.166667,0,11,806.062866,755.433838,0.200000,0.150000,0.000000
5,1,5,0.166667,0,12,586.571289,751.152039,0.050000,0.200000,0.000000
5,1,5,0.166667,0,13,657.830688,731.868103,0.100000,0.200000,0.000000
5,1,5,0.166667,0,14,729.340576,713.180176,0.150000,0.200000,0.000000
5,1,5,0.166667,0,15,795.627319,695.478394,0.200000,0.200000,0.000000
5,1,5,0.166667,0,16,574.078125,685.874512,0.050000,0.250000,0.000000
5,1,5,0.166667,0,17,647.933716,669.349487,0.100000,0.250000,0.000000
5,1,5,0.166667,0,18,717.837402,649.984741,0.150000,0.250000,0.000000
5,1,5,0.166667,0,19,788.629761,633.753662,0.200000,0.250000,0.000000
5,1,5,0.166667,0,20,561.979736,620.702026,0.050000,0.300000,0.000000
5,1,5,0.166667,0,21,638.042236,602.802002,0.100000,0.300000,0.000000
5,1,5,0.166667,0,22,709.263428,586.424500,0.150000,0.300000,0.000000
5,1,5,0.166667,0,23,778.550903,568.900635,0.200000,0.300000,0.000000
10,1,10,0.333333,0,0,610.134033,936.268921,0.050000,0.050000,0.000000
10,1,10,0.333333,0,1,681.697144,916.800476,0.100000,0.050000,0.000000
10,1,10,0.333333,0,2,748.905151,897.753967,0.150000,0.050000,0.000000
10,1,10,0.333333,0,3,813.113892,875.473145,0.200000,0.050000,0.000000
10,1,10,0.333333,0,4,601.564941,877.436096,0.050000,0.100000,0.000000
10,1,10,0.333333,0,5,671.588379,858.875549,0.100000,0.100000,0.000000
10,1,10,0.333333,0,6,738.754028,838.600342,0.150000,0.100000,0.000000
10,1,10,0.333333,0,7,804.817993,819.563904,0.200000,0.100000,0.000000
10,1,10,0.333333,0,8,589.430664,817.393494,0.050000,0.150000,0.000000
10,1,10,0.333333,0,9,659.725708,800.364990,0.100000,0.150000,0.000000
10,1,10,0.333333,0,10,730.340210,779.840637,0.150000,0.150000,0.000000
10,1,10,0.333333,0,11,796.556396,759.865112,0.200000,0.150000,0.000000
10,1,10,0.333333,0,12,576.398926,756.846436,0.050000,0.200000,0.000000
10,1,10,0.333333,0,13,650.364868,736.899902,0.100000,0.200000,0.000000
10,1,10,0.333333,0,14,719.460083,719.239075,0.150000,0.200000,0.000000
10,1,10,0.333333,0,15,787.721436,699.732849,0.200000,0.200000,0.000000
10,1,10,0.333333,0,16,566.321533,691.041077,0.050000,0.250000,0.000000
10,1,10,0.333333,0,17,638.619019,673.091003,0.100000,0.250000,0.000000
10,1,10,0.333333,0,18,711.295166,655.720215,0.150000,0.250000,0.000000
10,1,10,0.333333,0,19,779.652222,637.675110,0.200000,0.250000,0.000000
10,1,10,0.333333,0,20,552.016602,625.752625,0.050000,0.300000,0.000000
10,1,10,0.333333,0,21,627.791382,607.773743,0.100000,0.300000,0.000000
10,1,10,0.333333,0,22,700.131348,590.583679,0.150000,0.300000,0.000000
10,1,10,0.333333,0,23,770.117310,573.713379,0.200000,0.300000,0.000000
15,1,15,0.500000,0,0,607.474976,936.045654,0.050000,0.050000,0.000000
15,1,15,0.500000,0,1,678.241333,916.894714,0.100000,0.050000,0.000000
15,1,15,0.500000,0,2,747.244385,897.636719,0.150000,0.050000,0.000000
15,1,15,0.500000,0,3,809.287354,876.273926,0.200000,0.050000,0.000000
15,1,15,0.500000,0,4,597.680298,876.311523,0.050000,0.100000,0.000000
15,1,15,0.500000,0,5,666.394531,857.808716,0.100000,0.100000,0.000000
15,1,15,0.500000,0,6,735.528076,838.738403,0.150000,0.100000,0.000000
15,1,15,0.500000,0,7,801.973877,818.923157,0.200000,0.100000,0.000000
15,1,15,0.500000,0,8,584.015015,815.638733,0.050000,0.150000,0.000000
15,1,15,0.500000,0,9,656.660645,797.856689,0.100000,0.150000,0.000000
15,1,15,0.500000,0,10,725.546875,778.372253,0.150000,0.150000,0.000000
15,1,15,0.500000,0,11,793.485474,758.532532,0.200000,0.150000,0.000000
15,1,15,0.500000,0,12,573.116577,754.555908,0.050000,0.200000,0.000000
15,1,15,0.500000,0,13,646.369629,735.484863,0.100000,0.200000,0.000000
15,1,15,0.500000,0,14,715.780884,717.222229,0.150000,0.200000,0.000000
15,1,15,0.500000,0,15,785.093140,699.656189,0.200000,0.200000,0.000000
15,1,15,0.500000,0,16,560.154175,689.056213,0.050000,0.250000,0.000000
15,1,15,0.500000,0,17,634.312012,671.888245,0.100000,0.250000,0.000000
15,1,15,0.500000,0,18,706.206787,654.148376,0.150000,0.250000,0.000000
15,1,15,0.500000,0,19,775.338623,636.657410,0.200000,0.250000,0.000000
15,1,15,0.500000,0,20,547.333374,623.496765,0.050000,0.300000,0.000000
15,1,15,0.500000,0,21,621.088257,604.729553,0.100000,0.300000,0.000000
15,1,15,0.500000,0,22,696.269531,588.243469,0.150000,0.300000,0.000000
15,1,15,0.500000,0,23,766.454834,572.670715,0.200000,0.300000,0.000000
20,1,20,0.666667,0,0,612.968140,936.533325,0.050000,0.050000,0.000000
20,1,20,0.666667,0,1,682.320679,916.995667,0.100000,0.050000,0.000000
20,1,20,0.666667,0,2,748.202393,896.921387,0.150000,0.050000,0.000000
20,1,20,0.666667,0,3,813.023926,876.331116,0.200000,0.050000,0.000000
20,1,20,0.666667,0,4,601.803223,876.680969,0.050000,0.100000,0.000000
20,1,20,0.666667,0,5,671.606934,858.393005,0.100000,0.100000,0.000000
20,1,20,0.666667,0,6,739.047485,838.173584,0.150000,0.100000,0.000000
20,1,20,0.666667,0,7,801.936768,817.539795,0.200000,0.100000,0.000000
20,1,20,0.666667,0,8,590.816772,817.152649,0.050000,0.150000,0.000000
20,1,20,0.666667,0,9,660.143555,797.977173,0.100000,0.150000,0.000000
20,1,20,0.666667,0,10,728.525024,778.265198,0.150000,0.150000,0.000000
20,1,20,0.666667,0,11,795.471191,759.687500,0.200000,0.150000,0.000000
20,1,20,0.666667,0,12,576.714966,753.740173,0.050000,0.200000,0.000000
20,1,20,0.666667,0,13,648.384521,735.443726,0.100000,0.200000,0.000000
20,1,20,0.666667,0,14,718.627808,717.229675,0.150000,0.200000,0.000000
20,1,20,0.666667,0,15,788.501709,699.215210,0.200000,0.200000,0.000000
20,1,20,0.666667,0,16,563.926270,689.782532,0.050000,0.250000,0.000000
20,1,20,0.666667,0,17,636.812378,672.170471,0.100000,0.250000,0.000000
20,1,20,0.666667,0,18,706.654663,652.974976,0.150000,0.250000,0.000000
20,1,20,0.666667,0,19,777.158691,636.774841,0.200000,0.250000,0.000000
20,1,20,0.666667,0,20,549.622559,623.622681,0.050000,0.300000,0.000000
20,1,20,0.666667,0,21,623.689087,605.567566,0.100000,0.300000,0.000000
