sync_index,object_id,keypoint_id,x_coord,y_coord,z_coord,frame_time
0,0,2,0.089171,0.247470,0.992362,0.000000
0,0,6,0.089467,0.197779,1.002364,0.000000
0,0,11,0.139660,0.148643,1.008100,0.000000
0,0,12,-0.007862,0.101324,1.036687,0.000000
0,0,15,0.140304,0.098942,1.015673,0.000000
0,0,16,-0.007884,0.052231,1.046335,0.000000
0,0,17,0.041515,0.051656,1.040284,0.000000
0,0,18,0.091326,0.050827,1.033920,0.000000
0,0,19,0.140912,0.049917,1.027756,0.000000
0,0,20,-0.007125,0.003271,1.057182,0.000000
0,0,21,0.042358,0.002236,1.049987,0.000000
0,0,22,0.091461,0.001486,1.042790,0.000000
0,0,23,0.141262,0.000747,1.038956,0.000000
5,0,0,-0.014909,0.254147,1.011450,0.166667
5,0,1,0.034721,0.253045,1.002419,0.166667
5,0,2,0.084039,0.252763,0.997937,0.166667
5,0,3,0.133897,0.251475,0.990452,0.166667
5,0,4,-0.013955,0.204400,1.020081,0.166667
5,0,5,0.034952,0.203948,1.013626,0.166667
5,0,6,0.084369,0.202906,1.005430,0.166667
5,0,7,0.134432,0.202350,0.999741,0.166667
5,0,8,-0.013793,0.155789,1.031545,0.166667
5,0,9,0.035772,0.154626,1.022782,0.166667
5,0,10,0.085352,0.154368,1.018655,0.166667
5,0,11,0.135300,0.153055,1.010882,0.166667
5,0,12,-0.013364,0.106391,1.040296,0.166667
5,0,13,0.036206,0.105833,1.034811,0.166667
5,0,14,0.085972,0.104357,1.027023,0.166667
5,0,15,0.135335,0.103987,1.021487,0.166667
5,0,16,-0.012896,0.057065,1.051201,0.166667
5,0,17,0.036404,0.056016,1.042627,0.166667
5,0,18,0.086310,0.055642,1.038698,0.166667
5,0,19,0.135719,0.054323,1.029645,0.166667
5,0,20,-0.012555,0.007967,1.059961,0.166667
5,0,21,0.037276,0.006677,1.052710,0.166667
5,0,22,0.086492,0.005965,1.046120,0.166667
5,0,23,0.136152,0.005114,1.040622,0.166667
10,0,0,-0.021627,0.254201,1.011306,0.333333
10,0,1,0.028153,0.252790,1.002087,0.333333
10,0,2,0.077497,0.251949,0.994435,0.333333
10,0,3,0.127454,0.251791,0.991132,0.333333
10,0,4,-0.020545,0.204666,1.019794,0.333333
10,0,5,0.028622,0.203878,1.011892,0.333333
10,0,6,0.078060,0.203153,1.006337,0.333333
10,0,7,0.127446,0.202365,0.999690,0.333333
10,0,8,-0.020278,0.155862,1.029946,0.333333
10,0,9,0.028594,0.154590,1.021085,0.333333
10,0,10,0.078497,0.154107,1.015332,0.333333
10,0,11,0.128392,0.153504,1.010675,0.333333
10,0,12,-0.020212,0.106655,1.038855,0.333333
10,0,13,0.029561,0.106149,1.032662,0.333333
10,0,14,0.078589,0.105488,1.025959,0.333333
10,0,15,0.128506,0.104519,1.020529,0.333333
10,0,16,-0.019238,0.057666,1.049207,0.333333
10,0,17,0.029883,0.056661,1.042712,0.333333
10,0,18,0.079389,0.055846,1.035081,0.333333
10,0,19,0.128911,0.055271,1.029788,0.333333
10,0,20,-0.019448,0.008666,1.059010,0.333333
10,0,21,0.030315,0.007548,1.052186,0.333333
10,0,22,0.079832,0.006649,1.045696,0.333333
10,0,23,0.129357,0.006070,1.039700,0.333333
15,0,0,-0.022425,0.254374,1.012920,0.500000
15,0,1,0.027168,0.253374,1.004078,0.500000
15,0,2,0.076798,0.251707,0.995062,0.500000
15,0,3,0.126390,0.251640,0.992102,0.500000
15,0,4,-0.021494,0.205213,1.023061,0.500000
15,0,5,0.027332,0.204417,1.015610,0.500000
15,0,6,0.076946,0.203437,1.007904,0.500000
15,0,7,0.126743,0.202259,1.001443,0.500000
15,0,8,-0.021528,0.156613,1.034669,0.500000
15,0,9,0.027826,0.155146,1.025152,0.500000
15,0,10,0.077678,0.154595,1.019352,0.500000
15,0,11,0.127643,0.153481,1.013194,0.500000
15,0,12,-0.021260,0.107009,1.042561,0.500000
15,0,13,0.028720,0.106215,1.035889,0.500000
