sync_index,object_id,keypoint_id,x_coord,y_coord,z_coord,frame_time
0,0,0,-0.294052,0.160882,-0.181893,0.000000
0,0,1,-0.244615,0.162855,-0.171911,0.000000
0,0,2,-0.195759,0.163863,-0.160804,0.000000
0,0,3,-0.148492,0.165509,-0.148680,0.000000
0,0,4,-0.297374,0.210184,-0.172583,0.000000
0,0,5,-0.248313,0.211730,-0.163957,0.000000
0,0,8,-0.301279,0.259331,-0.163792,0.000000
0,0,9,-0.252453,0.260992,-0.151993,0.000000
0,0,12,-0.304829,0.308496,-0.154490,0.000000
0,0,13,-0.255886,0.309944,-0.142933,0.000000
0,0,14,-0.207223,0.311878,-0.130713,0.000000
0,0,15,-0.158844,0.313580,-0.120097,0.000000
0,0,16,-0.308472,0.357907,-0.145519,0.000000
0,0,17,-0.259843,0.359124,-0.132261,0.000000
0,0,18,-0.211476,0.360478,-0.120414,0.000000
0,0,19,-0.162173,0.362726,-0.109617,0.000000
0,0,20,-0.312134,0.406405,-0.133944,0.000000
0,0,21,-0.262854,0.408239,-0.125174,0.000000
0,0,22,-0.215014,0.409564,-0.111462,0.000000
0,0,23,-0.166181,0.410902,-0.099909,0.000000
5,0,0,-0.289146,0.159692,-0.182332,0.166667
5,0,1,-0.240744,0.161595,-0.170006,0.166667
5,0,2,-0.192689,0.163398,-0.157424,0.166667
5,0,3,-0.143419,0.165376,-0.146960,0.166667
5,0,4,-0.293569,0.208655,-0.171725,0.166667
5,0,5,-0.244859,0.210511,-0.160557,0.166667
5,0,6,-0.196256,0.212378,-0.148909,0.166667
5,0,7,-0.147874,0.214221,-0.137494,0.166667
5,0,8,-0.297480,0.257855,-0.162694,0.166667
5,0,9,-0.248839,0.259648,-0.151291,0.166667
5,0,10,-0.200395,0.261471,-0.139960,0.166667
5,0,11,-0.151955,0.263147,-0.127711,0.166667
5,0,12,-0.301228,0.306884,-0.153065,0.166667
5,0,13,-0.252993,0.308488,-0.141680,0.166667
5,0,14,-0.204447,0.310342,-0.130057,0.166667
5,0,15,-0.155785,0.312034,-0.118491,0.166667
5,0,16,-0.305380,0.355625,-0.144082,0.166667
5,0,17,-0.256845,0.357581,-0.131723,0.166667
5,0,18,-0.208890,0.359200,-0.119950,0.166667
5,0,19,-0.159821,0.361427,-0.109034,0.166667
5,0,20,-0.309603,0.404403,-0.134407,0.166667
5,0,21,-0.260964,0.406294,-0.123145,0.166667
5,0,22,-0.212664,0.408267,-0.110638,0.166667
5,0,23,-0.164197,0.410074,-0.099851,0.166667
10,0,0,-0.288756,0.159210,-0.184131,0.333333
10,0,1,-0.240161,0.161491,-0.173084,0.333333
10,0,2,-0.191539,0.163167,-0.161776,0.333333
10,0,3,-0.142729,0.165514,-0.150851,0.333333
10,0,4,-0.292930,0.208623,-0.174747,0.333333
10,0,5,-0.244501,0.210518,-0.164257,0.333333
10,0,6,-0.195764,0.212526,-0.152517,0.333333
10,0,7,-0.147650,0.214642,-0.140518,0.333333
10,0,8,-0.296811,0.257471,-0.167400,0.333333
10,0,9,-0.248841,0.259388,-0.154542,0.333333
10,0,10,-0.200079,0.261422,-0.143304,0.333333
10,0,11,-0.151340,0.263748,-0.131705,0.333333
10,0,12,-0.301394,0.306482,-0.157242,0.333333
10,0,13,-0.252586,0.308568,-0.146478,0.333333
10,0,14,-0.204353,0.310543,-0.133703,0.333333
10,0,15,-0.155804,0.312744,-0.123076,0.333333
10,0,16,-0.305306,0.355460,-0.148728,0.333333
10,0,17,-0.256942,0.357618,-0.136328,0.333333
10,0,18,-0.208486,0.359730,-0.125489,0.333333
10,0,19,-0.159759,0.361765,-0.113846,0.333333
10,0,20,-0.309614,0.404350,-0.138370,0.333333
10,0,21,-0.261667,0.406573,-0.126929,0.333333
10,0,22,-0.212732,0.408519,-0.115487,0.333333
10,0,23,-0.164105,0.410418,-0.104252,0.333333
15,0,0,-0.286614,0.157666,-0.180838,0.500000
15,0,1,-0.237994,0.160100,-0.168915,0.500000
15,0,2,-0.189104,0.162068,-0.158699,0.500000
15,0,3,-0.140898,0.164644,-0.145972,0.500000
15,0,4,-0.291184,0.206757,-0.171305,0.500000
15,0,5,-0.242534,0.209043,-0.160314,0.500000
15,0,6,-0.193923,0.211212,-0.148761,0.500000
15,0,7,-0.145512,0.213819,-0.137768,0.500000
15,0,8,-0.295281,0.255568,-0.162638,0.500000
15,0,9,-0.247125,0.258011,-0.150928,0.500000
15,0,10,-0.198562,0.260401,-0.139980,0.500000
15,0,11,-0.149623,0.262881,-0.128573,0.500000
15,0,12,-0.300061,0.304861,-0.153664,0.500000
15,0,13,-0.251279,0.307143,-0.143228,0.500000
15,0,14,-0.202912,0.309361,-0.130904,0.500000
15,0,15,-0.154242,0.311809,-0.120115,0.500000
15,0,16,-0.304344,0.353537,-0.144210,0.500000
15,0,17,-0.255877,0.356140,-0.132344,0.500000
15,0,18,-0.207325,0.358674,-0.122867,0.500000
15,0,19,-0.158583,0.360975,-0.110682,0.500000
15,0,20,-0.308824,0.402784,-0.135089,0.500000
15,0,21,-0.260133,0.404975,-0.124341,0.500000
15,0,22,-0.211791,0.407367,-0.112515,0.500000
15,0,23,-0.163043,0.409980,-0.102530,0.500000
20,0,0,-0.286492,0.157978,-0.177714,0.666667
20,0,1,-0.237612,0.160281,-0.167433,0.666667
20,0,2,-0.189145,0.162106,-0.154944,0.666667
20,0,3,-0.140503,0.164632,-0.145119,0.666667
20,0,4,-0.290487,0.207241,-0.169251,0.666667
20,0,5,-0.241876,0.209408,-0.158871,0.666667
20,0,6,-0.193070,0.211821,-0.147194,0.666667
20,0,7,-0.145145,0.213677,-0.134909,0.666667
20,0,8,-0.294740,0.256043,-0.160977,0.666667
20,0,9,-0.246223,0.258388,-0.149400,0.666667
20,0,10,-0.197584,0.260545,-0.138615,0.666667
20,0,11,-0.148858,0.262861,-0.127524,0.666667
20,0,12,-0.298874,0.305460,-0.151883,0.666667
20,0,13,-0.250359,0.307392,-0.141515,0.666667
20,0,14,-0.202066,0.309536,-0.129125,0.666667
20,0,15,-0.153030,0.311966,-0.119595,0.666667
20,0,16,-0.303357,0.354187,-0.143437,0.666667
20,0,17,-0.254812,0.356432,-0.131295,0.666667
20,0,18,-0.206622,0.358406,-0.119304,0.666667
20,0,19,-0.157584,0.361054,-0.108844,0.666667
20,0,20,-0.307816,0.403031,-0.133235,0.666667
20,0,21,-0.259485,0.405094,-0.121478,0.666667
20,0,22,-0.210620,0.407704,-0.111175,0.666667
20,0,23,-0.161933,0.409747,-0.100303,0.666667
25,0,0,-0.285433,0.158719,-0.175711,0.833333
25,0,1,-0.236714,0.161118,-0.164041,0.833333
25,0,2,-0.188795,0.163561,-0.151473,0.833333
25,0,3,-0.139562,0.165968,-0.141307,0.833333
25,0,4,-0.290034,0.207619,-0.165958,0.833333
25,0,5,-0.241191,0.210047,-0.155915,0.833333
25,0,6,-0.192658,0.212585,-0.143472,0.833333
25,0,7,-0.143650,0.214976,-0.133921,0.833333
25,0,8,-0.294426,0.256617,-0.156851,0.833333
25,0,9,-0.245527,0.259240,-0.146718,0.833333
25,0,10,-0.197070,0.261453,-0.135140,0.833333
25,0,11,-0.148293,0.264157,-0.124144,0.833333
25,0,12,-0.298784,0.305698,-0.148642,0.833333
25,0,13,-0.250109,0.308092,-0.138139,0.833333
25,0,14,-0.201731,0.310668,-0.126120,0.833333
25,0,15,-0.152746,0.313228,-0.116502,0.833333
25,0,16,-0.302958,0.354719,-0.140879,0.833333
25,0,17,-0.254783,0.357299,-0.128187,0.833333
25,0,18,-0.206603,0.359350,-0.116355,0.833333
25,0,19,-0.157616,0.362192,-0.106385,0.833333
25,0,20,-0.307721,0.403691,-0.131028,0.833333
25,0,21,-0.259216,0.406187,-0.120493,0.833333
25,0,22,-0.210818,0.408731,-0.108189,0.833333
25,0,23,-0.162301,0.410993,-0.097129,0.833333
30,0,0,-0.285495,0.158888,-0.175110,1.000000
30,0,1,-0.236747,0.161624,-0.163753,1.000000
30,0,2,-0.188214,0.163519,-0.152447,1.000000
30,0,3,-0.139575,0.166476,-0.141661,1.000000
30,0,4,-0.290244,0.207674,-0.166044,1.000000
30,0,5,-0.241388,0.210407,-0.155701,1.000000
30,0,6,-0.192687,0.212938,-0.143768,1.000000
30,0,7,-0.143562,0.215222,-0.134326,1.000000
30,0,8,-0.294402,0.256837,-0.157252,1.000000
30,0,9,-0.246074,0.259388,-0.146199,1.000000
30,0,10,-0.197167,0.261722,-0.135304,1.000000
30,0,11,-0.148573,0.264379,-0.124194,1.000000
30,0,12,-0.298937,0.306092,-0.148453,1.000000
30,0,13,-0.250445,0.308270,-0.137328,1.000000
30,0,14,-0.201893,0.310832,-0.126471,1.000000
30,0,15,-0.153417,0.313421,-0.114815,1.000000
30,0,16,-0.303491,0.354931,-0.139706,1.000000
30,0,17,-0.254954,0.357595,-0.127978,1.000000
30,0,18,-0.206336,0.359946,-0.117831,1.000000
30,0,19,-0.157536,0.362824,-0.106592,1.000000
30,0,20,-0.308191,0.403919,-0.130347,1.000000
30,0,21,-0.259745,0.406337,-0.119150,1.000000
30,0,22,-0.210939,0.409121,-0.108208,1.000000
30,0,23,-0.162234,0.411674,-0.098221,1.000000
35,0,0,-0.283612,0.157385,-0.176958,1.166667
35,0,1,-0.234835,0.160030,-0.166207,1.166667
35,0,2,-0.186232,0.162208,-0.154662,1.166667
35,0,3,-0.137429,0.165246,-0.143509,1.166667
35,0,4,-0.288475,0.206318,-0.167342,1.166667
35,0,5,-0.239593,0.209152,-0.157332,1.166667
35,0,6,-0.190887,0.211464,-0.145735,1.166667
35,0,7,-0.141857,0.214218,-0.135649,1.166667
35,0,8,-0.293242,0.255558,-0.158257,1.166667
35,0,9,-0.244042,0.258349,-0.148031,1.166667
35,0,10,-0.195610,0.260607,-0.136526,1.166667
35,0,11,-0.146678,0.263506,-0.125338,1.166667
35,0,12,-0.297399,0.304839,-0.149716,1.166667
35,0,13,-0.248942,0.307169,-0.138878,1.166667
35,0,14,-0.200374,0.309897,-0.127189,1.166667
35,0,15,-0.151952,0.312951,-0.117252,1.166667
35,0,16,-0.302464,0.353634,-0.140726,1.166667
35,0,17,-0.253621,0.356385,-0.129454,1.166667
35,0,18,-0.205314,0.358914,-0.117954,1.166667
35,0,19,-0.156177,0.361659,-0.107192,1.166667
35,0,20,-0.306966,0.402597,-0.131123,1.166667
35,0,21,-0.258107,0.405013,-0.121012,1.166667
35,0,22,-0.209515,0.408005,-0.109485,1.166667
35,0,23,-0.160784,0.410474,-0.099061,1.166667
40,0,1,-0.235037,0.152580,-0.163914,1.333333
40,0,2,-0.186741,0.154888,-0.152802,1.333333
40,0,3,-0.137113,0.157762,-0.142607,1.333333
40,0,6,-0.190492,0.204245,-0.144781,1.333333
40,0,7,-0.142025,0.206252,-0.134251,1.333333
40,0,11,-0.146619,0.255678,-0.125194,1.333333
40,0,16,-0.302109,0.346126,-0.140919,1.333333
40,0,20,-0.306150,0.394600,-0.132466,1.333333
75,0,3,-0.164784,-0.009062,-0.131017,2.500000
80,0,2,-0.211753,-0.031107,-0.126333,2.666667
80,0,3,-0.162392,-0.022989,-0.126423,2.666667
80,0,4,-0.317807,-0.001994,-0.141318,2.666667
80,0,5,-0.267995,0.004714,-0.144136,2.666667
80,0,6,-0.219376,0.014011,-0.145742,2.666667
80,0,7,-0.170314,0.021767,-0.148046,2.666667
80,0,11,-0.178478,0.067640,-0.168084,2.666667
80,0,15,-0.187142,0.112147,-0.190680,2.666667
80,0,19,-0.194668,0.158642,-0.208142,2.666667
80,0,23,-0.204572,0.202979,-0.227610,2.666667
85,0,0,-0.303255,-0.057857,-0.115508,2.833333
85,0,1,-0.254553,-0.048251,-0.118422,2.833333
85,0,2,-0.205645,-0.039296,-0.121500,2.833333
85,0,3,-0.156428,-0.029271,-0.124800,2.833333
85,0,4,-0.313066,-0.012749,-0.135330,2.833333
85,0,5,-0.264151,-0.004088,-0.139891,2.833333
85,0,6,-0.215419,0.005533,-0.141500,2.833333
85,0,7,-0.166485,0.014756,-0.143767,2.833333
85,0,8,-0.322655,0.031563,-0.155422,2.833333
85,0,9,-0.273939,0.040886,-0.158145,2.833333
85,0,10,-0.224721,0.050086,-0.161061,2.833333
85,0,11,-0.176476,0.059209,-0.163735,2.833333
85,0,12,-0.332162,0.076434,-0.176379,2.833333
85,0,13,-0.283146,0.085434,-0.178573,2.833333
85,0,14,-0.234597,0.095059,-0.181128,2.833333
85,0,15,-0.185866,0.104214,-0.186100,2.833333
85,0,16,-0.342077,0.120732,-0.196063,2.833333
