sync_index,object_id,keypoint_id,x_coord,y_coord,z_coord,frame_time
0,0,0,0.041507,-0.102812,-0.045974,0.000000
0,0,1,0.091730,-0.105984,-0.040416,0.000000
0,0,3,0.191478,-0.108735,-0.038446,0.000000
0,0,4,0.042170,-0.057234,-0.027054,0.000000
0,0,5,0.092114,-0.059404,-0.023526,0.000000
0,0,7,0.192377,-0.062869,-0.020128,0.000000
0,0,8,0.043523,-0.011114,-0.008409,0.000000
0,0,9,0.093368,-0.013862,-0.003681,0.000000
0,0,10,0.143070,-0.015039,-0.003234,0.000000
0,0,13,0.094615,0.032786,0.013383,0.000000
0,0,14,0.144362,0.031035,0.015520,0.000000
1,0,4,0.040741,-0.057054,-0.028349,0.033333
1,0,5,0.090578,-0.059722,-0.024434,0.033333
1,0,8,0.041652,-0.010931,-0.009506,0.033333
1,0,9,0.091486,-0.013854,-0.005600,0.033333
2,0,4,0.040298,-0.056986,-0.029641,0.066667
2,0,5,0.089936,-0.059412,-0.025812,0.066667
2,0,8,0.041084,-0.010788,-0.011098,0.066667
2,0,9,0.090807,-0.013528,-0.007564,0.066667
8,0,9,0.084621,-0.016527,-0.010484,0.266667
8,0,10,0.134279,-0.018918,-0.007412,0.266667
8,0,13,0.085379,0.029288,0.008068,0.266667
8,0,14,0.134600,0.027251,0.010135,0.266667
11,0,4,0.030640,-0.059037,-0.031584,0.366667
11,0,5,0.080377,-0.061324,-0.028976,0.366667
11,0,8,0.031024,-0.012283,-0.014642,0.366667
11,0,9,0.081317,-0.014868,-0.010951,0.366667
13,0,6,0.130028,-0.062859,-0.028362,0.433333
13,0,7,0.179736,-0.064792,-0.027003,0.433333
13,0,10,0.130743,-0.016860,-0.009909,0.433333
13,0,11,0.180609,-0.018555,-0.008087,0.433333
14,0,6,0.130008,-0.062836,-0.028299,0.466667
14,0,7,0.179806,-0.064798,-0.026553,0.466667
14,0,10,0.130773,-0.016832,-0.009493,0.466667
14,0,11,0.180630,-0.018573,-0.008076,0.466667
37,0,6,0.139253,-0.057980,-0.017307,1.233333
37,0,7,0.189105,-0.059665,-0.014492,1.233333
37,0,10,0.140335,-0.011265,-0.001446,1.233333
37,0,11,0.190056,-0.012430,0.001331,1.233333
38,0,6,0.139737,-0.053799,-0.021485,1.266667
38,0,7,0.189816,-0.056067,-0.017974,1.266667
38,0,11,0.190159,-0.008991,-0.002351,1.266667
41,0,4,0.042511,-0.046794,-0.024489,1.366667
41,0,5,0.092492,-0.049592,-0.018042,1.366667
41,0,8,0.043429,-0.000071,-0.009535,1.366667
41,0,9,0.092822,-0.001935,-0.005365,1.366667
45,0,4,0.046066,-0.039040,-0.021524,1.500000
45,0,5,0.096090,-0.041355,-0.016205,1.500000
45,0,8,0.047330,0.008275,-0.006861,1.500000
45,0,9,0.096706,0.005971,-0.001807,1.500000
46,0,4,0.046752,-0.035888,-0.022854,1.533333
46,0,5,0.096913,-0.037555,-0.019368,1.533333
46,0,8,0.047617,0.012474,-0.009948,1.533333
46,0,9,0.097761,0.010049,-0.004778,1.533333
49,0,0,0.047511,-0.078918,-0.039101,1.633333
49,0,1,0.097540,-0.081221,-0.033449,1.633333
50,0,0,0.047985,-0.077126,-0.043196,1.666667
50,0,1,0.097703,-0.079695,-0.037386,1.666667
57,0,4,0.050173,-0.025915,-0.030713,1.900000
57,0,5,0.099937,-0.027750,-0.026826,1.900000
57,0,8,0.050536,0.021894,-0.017369,1.900000
57,0,9,0.100128,0.020891,-0.015772,1.900000
58,0,4,0.050397,-0.024257,-0.032118,1.933333
58,0,5,0.100214,-0.026024,-0.028555,1.933333
58,0,8,0.050791,0.023831,-0.019708,1.933333
58,0,9,0.100618,0.021121,-0.013613,1.933333
65,0,6,0.155132,-0.024640,-0.029462,2.166667
65,0,7,0.204757,-0.026347,-0.026370,2.166667
65,0,10,0.155890,0.022586,-0.014743,2.166667
65,0,11,0.205338,0.021081,-0.011909,2.166667
68,0,4,0.056747,-0.019562,-0.036084,2.266667
68,0,5,0.106509,-0.022041,-0.030307,2.266667
68,0,8,0.057399,0.027603,-0.021529,2.266667
68,0,9,0.107257,0.025106,-0.015232,2.266667
74,0,4,0.059915,-0.012114,-0.031605,2.466667
74,0,5,0.110075,-0.014590,-0.025697,2.466667
74,0,8,0.060275,0.035532,-0.016707,2.466667
74,0,9,0.110314,0.033215,-0.011608,2.466667
